,PC1,PC2
0,-12.409999,8.269045
1,-14.569332,-7.903297
2,-6.6635313,1.4379082
3,12.790334,14.260403
4,-11.505631,10.644449
5,-13.328718,11.817938
6,11.0771885,0.6942998
7,19.105818,5.411161
8,18.492096,9.622103
9,4.0901127,-13.670793
10,-3.751048,4.801265
11,-5.0321817,-6.2237043
12,21.096323,3.6721005
13,-3.8245826,3.668577
14,11.119254,-0.5218882
15,-11.448215,-3.7084403
16,-14.1029825,3.7759953
17,-5.4359508,-7.785556
18,8.881269,3.1153631
19,-12.573915,8.6934
20,-2.1539462,-14.708482
21,-12.087372,-6.147516
22,-13.704244,-6.9070935
23,-11.021793,10.114864
24,2.6138356,-1.2438036
25,-2.4214873,-11.779387
26,-1.9084063,-14.693632
27,-7.2865696,4.415448
28,2.455076,3.8089077
29,17.631779,-0.91372937
30,-3.2118576,2.473412
31,-11.586341,2.6163096
32,-0.82895947,-15.005464
33,-3.4694724,2.029234
34,-12.275158,4.822959
35,16.31483,0.71081984
36,-8.000892,5.674729
37,-12.877577,13.322465
38,-6.317723,-8.329595
39,12.106343,0.8257279
40,6.8312593,-7.4379296
41,0.21670656,2.0116055
42,-11.297583,-1.9711628
43,17.780622,6.1904917
44,-4.5102887,6.308433
45,1.4859985,4.1351876
46,-1.0253323,10.486613
47,-14.714595,8.441064
48,13.925926,3.0844264
49,-9.791701,9.182081
50,14.938785,0.8606998
51,16.087103,1.7672611
52,18.49086,2.555117
53,14.996259,8.491264
54,20.043486,3.5240605
55,13.469574,6.6407795
56,4.585079,4.9127645
57,-14.711008,-2.1144097
58,-17.255112,8.114
59,-4.4110675,-0.64157647
60,14.535693,-0.23513117
61,-6.6538157,4.5723677
62,17.687267,3.8493028
63,5.153133,-4.6441584
64,-3.6188014,10.746094
65,21.613768,5.407419
66,-10.450499,0.92918503
67,-9.516773,-1.3011502
68,4.597242,-12.514625
69,-1.262275,-1.5957229
70,-6.839027,1.5345429
71,-8.243164,10.699226
72,-1.3486449,6.7427354
73,16.55609,2.909462
74,-2.540867,4.062741
75,-1.8179722,-14.628012
76,-9.115568,11.628643
77,19.681566,2.784921
78,-7.287236,-6.404684
79,13.450171,4.0631614
80,-9.285695,3.766866
81,-14.020981,5.94936
82,-1.7826977,-0.25249463
83,19.074625,3.799669
84,-8.716483,13.880876
85,20.324808,-1.1081619
86,-4.7995944,-11.225281
87,-13.086522,-1.6573738
88,-2.9967728,-0.032543603
89,-2.5655673,-13.164835
90,3.094994,0.14123058
91,-13.910811,4.1387925
92,-4.970168,-6.4826913
93,6.047912,5.0435457
94,-9.750953,-5.711707
95,-12.564797,5.5852294
96,-3.062024,-4.961012
97,-10.591278,-0.42788762
98,-0.99131495,-14.659306
99,-9.729576,-0.90765756
100,14.59116,1.4144688
101,14.521316,-2.8630252
102,10.841751,0.8407087
103,-17.784142,-3.7919838
104,21.822296,0.86210674
105,-12.262312,-9.428079
106,8.634062,0.5543883
107,-2.9672637,-15.892731
108,8.921142,-1.9832236
109,-6.2100925,-3.103307
110,17.37453,2.214843
111,-4.2737675,-10.196278
112,-7.700979,6.4224086
113,6.471388,-3.1433094
114,5.5100102,-13.477258
115,-5.284099,2.6244962
116,15.269403,-2.5346591
117,-9.113664,6.602363
118,-0.32109606,-15.073777
119,-7.794624,6.954271
120,8.790302,-0.6268413
121,2.7421124,-11.392972
122,-5.1393867,-8.447194
123,14.170078,3.2739978
124,-1.8274312,-11.211088
125,17.026562,-0.8282352
126,2.2716537,-14.523832
127,-2.3664756,-12.580697
128,-6.662079,-9.474989
129,13.551217,-0.69401383
130,-11.843693,2.3965797
131,14.073211,2.554567
132,-7.652242,-1.0332898
133,-12.003389,-0.7865515
134,-13.43015,6.479082
135,-9.019686,7.414115
136,-12.931853,-0.17935418
137,-13.251922,11.030715
138,-6.309064,1.5326276
139,11.876308,3.5159738
140,-15.953439,7.545912
141,3.0855892,2.9800072
142,-4.4985056,-6.11594
143,-3.8368757,7.846344
144,-15.963514,-0.40523905
145,-7.861761,-5.11934
146,-12.543036,7.5921245
147,-0.3031454,-14.485095
148,-4.9755335,-10.331541
149,-3.8053455,3.6684594
