,embedding1,embedding2
0,60.208458,-36.79688
1,-2.5461948,83.03927
2,15.367642,-5.03457
3,15.07905,-42.52426
4,45.890625,13.900883
5,43.295677,37.472233
6,1.7340978,-60.800446
7,-36.67471,-44.625153
8,-36.17829,-59.189117
9,-79.42539,-22.054422
10,21.481295,-23.122944
11,-57.18801,60.956093
12,-12.2889595,-59.916367
13,53.74237,65.74537
14,-33.66985,-2.9561772
15,5.145863,38.664803
16,19.39658,34.269535
17,-32.778503,79.09
18,-18.34241,-43.539608
19,63.190098,17.307407
20,75.85396,-15.6298485
21,19.551987,79.50983
22,0.015783299,80.47382
23,48.97803,-43.617527
24,2.4370599,-32.321285
25,-59.600277,34.50594
26,82.622696,-1.0551807
27,37.362255,-30.664808
28,-17.09092,17.943838
29,-72.14697,4.845906
30,-14.97591,16.98755
31,63.26056,-26.612907
32,26.809383,-69.39775
33,19.867222,-14.560103
34,16.270523,40.8608
35,-38.181953,-31.849655
36,46.03476,-34.32972
37,41.316612,38.88426
38,-32.06309,75.07625
39,19.114351,-46.655037
40,-54.896683,17.830177
41,-2.6011596,4.3035502
42,-5.842624,41.38102
43,-49.76984,-0.9925524
44,23.825796,1.7514534
45,-1.0239476,8.6746645
46,20.088345,7.520975
47,54.169518,4.520441
48,-4.2292385,-56.870728
49,34.163918,18.015442
50,-37.474968,-1.2657365
51,-33.18356,-7.3765
52,-54.628517,-6.502203
53,-14.900347,-21.684635
54,-48.263996,-8.293908
55,13.470066,-42.835598
56,2.8119886,-23.966835
57,12.347602,36.81574
58,55.472755,38.046516
59,8.534878,-11.240076
60,-12.999045,-37.52959
61,36.607243,-30.17438
62,-57.52589,-48.251133
63,-2.5626233,-25.871004
64,53.526165,-62.55784
65,-58.73994,-7.4262013
66,-23.407272,38.257748
67,-11.567837,34.80566
68,-60.14126,10.853025
69,13.729684,-16.677305
70,-1.6315936,29.065989
71,47.44269,-47.89805
72,1.4610665,7.5424223
73,-46.154545,-5.9426923
74,28.150143,7.003345
75,83.78776,-1.3240587
76,39.19069,-5.320479
77,-31.14032,-52.121765
78,6.7394795,66.65512
79,-30.389397,-24.490126
80,31.381876,-26.269093
81,53.80117,13.010965
82,17.301357,-20.335215
83,-3.853111,-60.608395
84,34.119583,45.147594
85,-46.791626,-9.290096
86,-56.072758,38.302223
87,10.304868,66.63019
88,11.1902075,-17.565796
89,-58.851185,34.476955
90,-45.90707,29.606817
91,37.556065,-15.225589
92,-55.82681,55.329372
93,-14.864846,-11.554166
94,-3.3700378,37.213936
95,71.58764,-42.488163
96,-16.000278,21.692673
97,-11.48651,40.29034
98,37.38089,-69.490486
99,-6.015217,41.236897
100,-52.47655,-24.539864
101,-30.30085,-36.194836
102,-44.209938,-25.824606
103,12.84566,51.908516
104,-34.725243,-39.976517
105,64.42871,54.94198
106,-5.314901,-31.810152
107,-80.43457,23.53551
108,6.5724263,-42.28796
109,-27.515963,37.106506
110,-53.886585,-31.744112
111,46.56707,50.78182
112,28.18135,53.72996
113,-16.485334,-28.280249
114,-78.05937,-22.092957
115,-2.9413373,14.2323885
116,-26.457952,-7.422013
117,44.165905,43.879692
118,41.183056,-62.833504
119,25.540543,-35.49069
120,-18.234207,-11.850713
121,-64.820786,25.716927
122,-45.15255,68.672005
123,-31.212759,-10.32053
124,-22.300465,56.623142
125,-5.1168637,-53.260468
126,-72.63345,-6.3310037
127,-62.533947,33.6181
128,47.666245,54.76615
129,20.192827,-59.177315
130,54.839672,-21.956274
131,-49.99132,-43.978172
132,-18.19982,38.131664
133,29.482452,29.114567
134,49.540874,12.733338
135,29.920437,-9.688575
136,44.082672,-15.355865
137,60.09891,19.360966
138,-9.709827,36.964066
139,-32.53062,-9.745105
140,51.715866,2.1840553
141,-40.10564,7.2508063
142,-21.68505,25.877892
143,36.186035,-51.816803
144,7.9753337,51.436855
145,-33.795307,40.728405
146,49.38074,32.806194
147,39.70231,-62.913147
148,44.474964,50.735035
149,53.750523,65.74446
150,-62.76616,12.381894
151,21.673025,14.9929085
152,16.495869,41.611004
153,-81.62712,4.303713
154,59.968376,-22.79463
155,-8.6557665,63.829845
156,-34.34721,-43.441334
157,-35.26968,48.690475
158,5.109774,61.37432
159,-30.563776,-25.078869
160,-27.749512,27.3965
161,17.56891,47.948795
162,-22.134655,-49.48429
163,-64.82806,25.71053
